accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,cancellation_policy,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed
3,1.0,2.0,60.0,50.0,500.0,10.0,2,1.9149011384799464,68.26426424574697,t,Entire home/apt,Real Bed,4,f,f,strict_14_with_grace_period,True,True,False,True,False
2,1.0,1.0,100.0,50.0,500.0,0.0,1,3.1614693142911694,73.88732125022452,t,Entire home/apt,Real Bed,3,f,f,moderate,False,True,False,False,False
2,1.0,1.0,60.0,5.0,0.0,5.0,1,1.6134191124281192,56.41886045429091,t,Private room,Real Bed,2,f,f,flexible,False,False,True,False,True
2,1.0,1.0,35.0,30.0,0.0,20.0,1,4.475568446375945,57.89527482533169,t,Private room,Real Bed,3,f,f,flexible,True,False,False,False,False
4,1.0,1.0,35.0,0.0,0.0,15.0,2,5.230619106304712,54.777340248364446,t,Private room,Real Bed,1,f,f,flexible,True,False,False,False,False
2,1.0,1.0,30.0,20.0,0.0,0.0,1,3.704694965049967,20.0,t,Private room,Real Bed,4,f,f,moderate,True,False,False,True,True
2,1.0,1.0,33.0,0.0,0.0,0.0,1,5.639612049294131,15.0,t,Private room,Real Bed,2,t,f,flexible,True,True,True,False,False
4,1.0,2.0,60.0,20.0,0.0,10.0,1,6.522101850321599,15.0,t,Private room,Real Bed,3,f,f,moderate,False,False,False,False,False
4,1.0,1.0,58.0,35.0,100.0,10.0,1,6.713990884752402,48.0,t,Entire home/apt,Real Bed,3,f,f,strict_14_with_grace_period,False,True,True,True,False
3,1.0,1.0,100.0,65.0,300.0,18.0,2,3.163743199756327,90.0,t,Private room,Real Bed,1,f,f,moderate,True,True,True,False,False
2,1.0,1.0,40.0,0.0,0.0,0.0,1,3.3039435336612977,46.32046751289109,t,Private room,Real Bed,3,f,f,flexible,True,False,False,False,False
3,1.0,2.0,26.0,0.0,0.0,0.0,1,0.4072849718312157,45.274115943819886,t,Entire home/apt,Real Bed,1,f,f,flexible,False,True,True,False,False
2,2.0,1.0,150.0,60.0,150.0,25.0,1,4.041941119596112,112.22497827677506,t,Private room,Real Bed,3,f,f,flexible,True,True,False,True,False
4,1.0,0.0,60.0,50.0,0.0,0.0,1,4.734908558741502,10.0,t,Entire home/apt,Real Bed,3,f,f,flexible,True,False,True,False,True
8,2.0,4.0,135.0,60.0,2000.0,0.0,1,3.1566796014833813,114.83112361866749,t,Entire home/apt,Real Bed,60,f,f,flexible,True,True,True,True,False
2,1.0,1.0,56.0,0.0,0.0,0.0,1,4.541442328786841,190.0,t,Private room,Real Bed,1,f,f,moderate,False,False,True,True,False
2,1.0,0.0,55.0,40.0,100.0,0.0,1,2.812407381698806,57.118607469633425,t,Entire home/apt,Real Bed,1,t,f,moderate,True,False,False,False,False
2,1.0,1.0,100.0,0.0,0.0,0.0,1,2.2318634976180594,80.0,t,Entire home/apt,Real Bed,2,t,f,moderate,True,True,False,True,False
1,2.0,1.0,50.0,0.0,0.0,0.0,1,5.1174776080110815,57.500240829633974,t,Private room,Real Bed,7,f,f,flexible,True,False,False,True,False
2,1.0,0.0,33.0,35.0,90.0,25.0,1,15.446965071621756,20.0,t,Private room,Real Bed,2,t,f,flexible,False,False,False,False,True
